k	L	method	density	density_std	runtime	runtime_std		
20	170	double	0.0125069	2.51226E-05	0.2866	0.00111355	0	0
20	180	random	0.0123997	0.000198729	0.0344	0.000663325	0	0
20	180	decycling	0.0117854	7.43005E-06	0.2174	0.000663325	0	0
20	180	double	0.0117843	2.01553E-05	0.2852	0.0004	0	0
20	190	random	0.0117012	0.000229273	0.0341	0.0003	0	0
20	190	decycling	0.0111265	1.33711E-05	0.218	0.00109545	0	0
20	190	double	0.0111319	1.67516E-05	0.2852	0.0004	0	0
20	200	random	0.0109599	8.55529E-05	0.034	6.93889E-18	0	0
20	200	decycling	0.0105401	1.49741E-05	0.2172	0.0004	0	0
20	200	double	0.0105266	1.16408E-05	0.2851	0.0003	0	0
20	210	random	0.0106655	0.00039563	0.0344	0.000489898	0	0
20	210	decycling	0.0100168	2.06272E-05	0.218	0.00204939	0	0
20	210	double	0.010005	2.08849E-05	0.286	0.001	0	0
20	220	random	0.010025	0.000226522	0.0341	0.0003	0	0
20	220	decycling	0.00953297	1.93987E-05	0.217	2.77556E-17	0	0
20	220	double	0.0095426	1.52588E-05	0.2851	0.0003	0	0
20	230	random	0.00957809	0.000311428	0.0341	0.0003	0	0
20	230	decycling	0.00910086	1.49547E-05	0.2172	0.0006	0	0
20	230	double	0.00911054	1.57631E-05	0.285	5.55112E-17	0	0
20	240	random	0.00903452	0.000065822	0.034	6.93889E-18	0	0
20	240	decycling	0.00871559	1.95874E-05	0.217	2.77556E-17	0	0
20	240	double	0.00870804	1.77473E-05	0.285	5.55112E-17	0	0
20	250	random	0.00885562	0.000539994	0.0344	0.0012	0	0
20	250	decycling	0.00834575	1.13291E-05	0.2361	0.0125176	0	0
20	250	double	0.00834125	1.48171E-05	0.285	5.55112E-17	0	0
50	60	random	0.163373	0.00557697	0.0483	0.00264764	0	0
50	60	decycling	0.167799	0.00531232	0.5237	0.00553263	0	0
50	60	double	0.16569	0.00339195	0.678	0.00565685	0	0
50	70	random	0.0904071	0.00445528	0.0405	0.000806226	0	0
50	70	decycling	0.0914058	0.005929	0.5179	0.00590678	0	0
50	70	double	0.0862146	0.000942055	0.6702	0.00334066	0	0
