k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
100	250	decycling	0.0107112	2.02849E-05	21.7675	0.0276378	151	0
100	250	double	0.0104186	1.15333E-05	28.512	0.0119917	151	0
100	260	random	0.0122401	5.41707E-05	0.6125	0.00162788	161	0
100	260	decycling	0.0100701	1.57168E-05	21.823	0.204788	161	0
100	260	double	0.00986337	1.53782E-05	28.5284	0.0163902	161	0
100	270	random	0.0115854	0.000125171	0.6117	0.00167631	171	0
100	270	decycling	0.00949986	1.36771E-05	21.7262	0.0117201	171	0
100	270	double	0.00938254	1.43403E-05	28.5386	0.0536362	171	0
100	280	random	0.0109652	0.000125492	0.6116	0.00215407	181	0
100	280	decycling	0.00903475	1.16389E-05	21.8003	0.156981	181	0
100	280	double	0.00895013	1.85794E-05	28.5572	0.108464	181	0
100	290	random	0.0103439	6.14293E-05	0.6093	0.0011	191	0
100	290	decycling	0.00860975	9.68516E-06	21.8415	0.222814	191	0
100	290	double	0.00856321	1.45366E-05	28.7407	0.453156	191	0
100	300	random	0.0098949	0.000200867	0.6097	0.00184662	201	0
100	300	decycling	0.00824187	1.33478E-05	21.7731	0.0329619	201	0
100	300	double	0.00821578	9.7358E-06	28.6776	0.426722	201	0
100	310	random	0.00949498	0.000345638	0.6617	0.00473392	211	0
100	310	decycling	0.00790548	0.000013591	21.7264	0.00677052	211	0
100	310	double	0.00788091	6.52142E-06	28.6738	0.44211	211	0
100	320	random	0.00896901	6.95823E-05	0.6089	0.00157797	221	0
100	320	decycling	0.00760076	9.26484E-06	22.0352	0.134047	221	0
100	320	double	0.00758968	7.7137E-06	28.7737	0.661283	221	0
100	330	random	0.0086839	0.000223889	0.6092	0.00271293	231	0
100	330	decycling	0.00732182	1.42396E-05	22.0946	0.486108	231	0
100	330	double	0.00731528	1.00557E-05	28.5213	0.0214898	231	0
100	340	random	0.00822227	5.49871E-05	0.6071	0.00277308	241	0
100	340	decycling	0.00705983	1.08942E-05	21.923	0.465334	241	0
100	340	double	0.00705182	1.17239E-05	28.523	0.0256554	241	0
100	350	random	0.00792225	7.67041E-05	0.6067	0.00241039	251	0
100	350	decycling	0.00682173	1.27394E-05	21.7952	0.0311249	251	0
100	350	double	0.00681336	6.42773E-06	28.5476	0.0295371	251	0
100	360	random	0.0076011	6.30088E-05	0.6062	0.00213542	261	0
100	360	decycling	0.00659477	6.42564E-06	21.7391	0.0188544	261	0
100	360	double	0.00659295	9.69141E-06	28.59	0.103593	261	0
100	370	random	0.00734484	6.72338E-05	0.607	0.00194936	271	0
100	370	decycling	0.00638558	4.74152E-06	21.8083	0.0615127	271	0
