k	L	method	density	density_std	runtime	runtime_std		
50	170	Miniception	0.0164463826	0	383.9033491611	0		
50	180	Miniception	0.0147356103	0	383.509636879	0		
50	190	Miniception	0.0132944551	0	383.8795053959	0		
50	200	Miniception	0.0127596357	0	383.1999604702	0		
50	210	Miniception	0.0117321533	0	382.9591329098	0		
50	220	Miniception	0.0110425819	0	382.8897161484	0		
50	230	Miniception	0.0105671949	0	383.2862443924	0		
50	240	Miniception	0.0104644978	0	383.0440824032	0		
50	250	Miniception	0.0098356357	0	383.3629472256	0		
50	260	Miniception	0.0091203998	0	386.7059829235	0		
50	270	Miniception	0.0089258705	0	386.7079854012	0		
50	280	Miniception	0.0088365535	0	386.402466774	0		
50	290	Miniception	0.0080032827	0	386.4009633064	0		
50	300	Miniception	0.0078131487	0	386.5393605232	0		
50	310	Miniception	0.0072768513	0	386.3692479134	0		
50	320	Miniception	0.0071907497	0	385.9319961071	0		
50	330	Miniception	0.0070646895	0	387.0626072884	0		
50	340	Miniception	0.0066583289	0	386.2594301701	0		
50	350	Miniception	0.0063518974	0	387.0875051022	0		
100	110	Miniception	0.136889679	0	421.6995418072	0		
100	120	Miniception	0.0892303727	0	413.4258935452	0		
100	130	Miniception	0.0515496463	0	406.8182079792	0		
100	140	Miniception	0.0409911152	0	403.5212144852	0		
100	150	Miniception	0.032860687	0	402.6949658394	0		
100	160	Miniception	0.0286142134	0	400.7580342293	0		
100	170	Miniception	0.0236708104	0	402.2085633278	0		
100	180	Miniception	0.0206650058	0	401.8541162014	0		
100	190	Miniception	0.0191490022	0	385.8437137604	0		
100	200	Miniception	0.0180043792	0	384.3446440697	0		
100	210	Miniception	0.0164069608	0	383.5391464233	0		
100	220	Miniception	0.016276836	0	384.8260297775	0		
100	230	Miniception	0.0152928449	0	383.877964735	0		
100	240	Miniception	0.0133447059	0	383.998752594	0		
100	250	Miniception	0.0127799498	0	383.4628548622	0		
100	260	Miniception	0.0115442854	0	387.4102289677	0		
100	270	Miniception	0.0110947054	0	386.9733228683	0		
100	280	Miniception	0.0106886106	0	387.3050391674	0		
100	290	Miniception	0.010379359	0	386.1958117485	0		
100	300	Miniception	0.0093910051	0	386.998888731	0		
100	310	Miniception	0.0096403706	0	387.0510222912	0		
100	320	Miniception	0.0084788994	0	386.1207790375	0		
100	330	Miniception	0.0082317056	0	385.5664556026	0		
100	340	Miniception	0.0078155692	0	386.3756146431	0		
100	350	Miniception	0.0075523634	0	386.649138689	0		
100	360	Miniception	0.007160057	0	387.0665614605	0		
100	370	Miniception	0.0069639784	0	386.1477963924	0		
100	380	Miniception	0.0068395971	0	386.6778883934	0		
100	390	Miniception	0.0064919038	0	386.4418964386	0		
100	400	Miniception	0.0062971346	0	386.898263216	0		
100	410	Miniception	0.0060966802	0	386.2211959362	0		
100	420	Miniception	0.0063109814	0	386.7260220051	0		
100	430	Miniception	0.0058719032	0	386.2710363865	0		
100	440	Miniception	0.0056154458	0	386.6597743034	0		
100	450	Miniception	0.0056004515	0	386.3453445435	0		
100	460	Miniception	0.0054808025	0	387.069160223	0		
100	470	Miniception	0.0051629486	0	385.3576107025	0		
100	480	Miniception	0.0056930552	0	387.0953471661	0		
100	490	Miniception	0.0054181419	0	386.5066437721	0		
100	500	Miniception	0.0048557585	0	389.2078905106	0		
5	100	Miniception	0.0209805714	0	484.4599778652	0		
6	100	Miniception	0.0206955132	0	450.3140609264	0		
7	100	Miniception	0.0223212012	0	427.99249506	0		
8	100	Miniception	0.0210390058	0	411.5464737415	0		
9	100	Miniception	0.0217104066	0	406.2273797989	0		
10	100	Miniception	0.0225048466	0	401.0807888508	0		
