k	L	method	density	density_std				
20	160	double	0.013447	3.53616E-05	0.5364	0.000489898	0	0
20	170	random	0.0135557	0.000631611	0.0653	0.00134536	0	0
20	170	decycling	0.0126026	0.000114523	0.4083	0.000458258	0	0
20	170	double	0.0125968	2.86537E-05	0.5361	0.0003	0	0
20	180	random	0.0123726	0.000192967	0.0647	0.000458258	0	0
20	180	decycling	0.0118986	4.73863E-05	0.4117	0.00319531	0	0
20	180	double	0.0118335	0.00015648	0.5361	0.000943398	0	0
20	190	random	0.0119191	0.000212087	0.0651	0.000538516	0	0
20	190	decycling	0.0112124	5.84596E-05	0.4096	0.00210713	0	0
20	190	double	0.011141	0.00018642	0.536	0.000447214	0	0
20	200	random	0.0111969	0.000179145	0.0648	0.0006	0	0
20	200	decycling	0.0105861	3.83165E-05	0.4084	0.000489898	0	0
20	200	double	0.0106153	4.13773E-05	0.5363	0.00141774	0	0
20	210	random	0.0106482	0.000572539	0.0647	0.00148661	0	0
20	210	decycling	0.0100491	0.00013839	0.4307	0.0205964	0	0
20	210	double	0.0100153	0.00014524	0.5358	0.000748331	0	0
20	220	random	0.0103009	0.000556263	0.0651	0.00157797	0	0
20	220	decycling	0.00962678	5.06671E-05	0.4097	0.00249199	0	0
20	220	double	0.00960648	3.02068E-05	0.5407	0.0147719	0	0
20	230	random	0.00965814	0.000183633	0.0644	0.000489898	0	0
20	230	decycling	0.0091352	0.000147441	0.4197	0.0202931	0	0
20	230	double	0.00915877	9.39129E-05	0.5354	0.000663325	0	0
20	240	random	0.00902003	0.000205807	0.0639	0.000538516	0	0
20	240	decycling	0.00879512	4.41851E-05	0.4087	0.00126886	0	0
20	240	double	0.00874882	6.35814E-05	0.5363	0.00184662	0	0
20	250	random	0.00886124	0.000186858	0.0645	0.0005	0	0
20	250	decycling	0.00842133	3.54481E-05	0.4079	0.0003	0	0
20	250	double	0.00836338	0.000121216	0.538	0.000447214	0	0
11	20	random	0.183415	0.0087061	0.0883	0.00371618	0	0
11	20	decycling	0.163659	0.00181537	0.3086	0.00237487	0	0
11	20	double	0.148836	0.000271637	0.3465	0.00269258	0	0
11	20	decycling_set	0.165211	0.00302353	0.1331	0.00410974	0	0
11	20	pasha	0.162925	0.00140417	0.1519	0.00104403	0	0
11	20	docks	0.16143	0.00154491	0.1457	0.00733553	0	0
11	30	random	0.0958521	0.003197	0.0777	0.00141774	0	0
11	30	decycling	0.0810385	0.000480364	0.2938	0.0016	0	0
11	30	double	0.080573	0.000414279	0.3426	0.00111355	0	0
11	30	decycling_set	0.0810237	0.000308693	0.1248	0.00107703	0	0
11	30	pasha	0.086923	0.00190231	0.135	0.00161245	0	0
11	30	docks	0.0860209	0.00185682	0.1349	0.00506853	0	0
11	40	random	0.064698	0.00235918	0.0722	0.0016	0	0
11	40	decycling	0.0576712	0.000144102	0.2912	0.00116619	0	0
11	40	double	0.0577172	0.000239236	0.3405	0.000806226	0	0
11	40	decycling_set	0.0574732	0.000273539	0.1197	0.00334813	0	0
11	40	pasha	0.0610746	0.000919567	0.1289	0.00410974	0	0
11	40	docks	0.0599672	0.000906605	0.1276	0.00488262	0	0
11	50	random	0.0489448	0.00178753	0.0709	0.00157797	0	0
11	50	decycling	0.0448354	0.000258512	0.2904	0.0008	0	0
11	50	double	0.0447928	0.000138228	0.3545	0.00067082	0	0
11	50	decycling_set	0.0447859	0.000276476	0.1213	0.00331813	0	0
11	50	pasha	0.046375	0.000703481	0.1274	0.0038	0	0
11	50	docks	0.0464242	0.000511057	0.128	0.00126491	0	0
11	60	random	0.0391365	0.000757208	0.0699	0.00122066	0	0
11	60	decycling	0.036817	0.000236437	0.2887	0.0021	0	0
11	60	double	0.0365939	0.000380177	0.3377	0.0009	0	0
11	60	decycling_set	0.0366307	0.000297434	0.1223	0.00257099	0	0
11	60	pasha	0.0380276	0.000507976	0.1225	0.00111803	0	0
11	60	docks	0.0379095	0.000621284	0.1235	0.00257876	0	0
11	70	random	0.0334755	0.00142112	0.0694	0.00174356	0	0
11	70	decycling	0.0310954	0.000320461	0.2873	0.00141774	0	0
11	70	double	0.0310473	0.000190451	0.337	0.000894427	0	0
11	70	decycling_set	0.0310108	0.000181828	0.1178	0.00305941	0	0
11	70	pasha	0.0320923	0.000597964	0.122	0.00407431	0	0
11	70	docks	0.0315238	0.000363285	0.1215	0.00332415	0	0
11	80	random	0.0292654	0.00145634	0.069	0.00148324	0	0
11	80	decycling	0.0271358	0.000285486	0.2865	0.00136015	0	0
11	80	double	0.0271116	0.000311389	0.3374	0.000663325	0	0
11	80	decycling_set	0.0271245	0.000310085	0.118	0.000894427	0	0
11	80	pasha	0.0274139	0.000523903	0.1214	0.00440908	0	0
11	80	docks	0.0272665	0.000249661	0.1207	0.00118743	0	0
11	90	random	0.0252356	0.000991003	0.0676	0.00135647	0	0
11	90	decycling	0.0238284	0.000210259	0.2867	0.00155242	0	0
11	90	double	0.0238024	0.000225179	0.3361	0.000830662	0	0
11	90	decycling_set	0.0237917	0.000230823	0.1169	0.00144568	0	0
11	90	pasha	0.0243941	0.000505836	0.1222	0.003995	0	0
11	90	docks	0.0240132	0.00020178	0.1191	0.000943398	0	0
11	100	random	0.0223801	0.000629836	0.0715	0.00128452	0	0
11	100	decycling	0.0213522	0.000191355	0.2855	0.000921954	0	0
11	100	double	0.0216204	0.000320178	0.338	0.00409878	0	0
